Column1,id,geometry.coordinates,properties.location,properties.format,properties.categoryAlias,properties.market,properties.size,properties.designTemplateUrl,properties.description,properties.display.calculatedCpm,properties.display.views,cost-per-day,properties.numbers.total,properties.lat,properties.lng,zone_id
49,23003395,"[40.779374, -73.95393]",Movie Theater Orpheum 7,Cinema: On-Screen: Pre-Show,Movie Theater,"New York, NY",1080 h x 1920 w,https://www.billboardsin.com/design/Cinema-NaNxNaN-null,Orpheum 7 - 7 theater screens - 15 second spot. Ads appear during Silver spot of the pre-show before every movie every day during your campaign timeframe.,0,0,37,1024.1,40.779374,-73.95393,236
166,23003382,"[40.809686, -73.951782]",MJ Harlem 9,Cinema: On-Screen: Pre-Show,Movie Theater,"New York, NY",1080 h x 1920 w,https://www.billboardsin.com/design/Cinema-NaNxNaN-null,MJ Harlem 9 - 9 theater screens - 15 second spot. Ads appear during Silver spot of the pre-show before every movie every day during your campaign timeframe.,0,0,42,1184.26,40.809686,-73.951782,41
617,23003369,"[40.731655, -73.988791]",Movie Theater Village 7,Cinema: On-Screen: Pre-Show,Movie Theater,"New York, NY",1080 h x 1920 w,https://www.billboardsin.com/design/Cinema-NaNxNaN-null,Village 7 - 7 theater screens - 15 second spot. Ads appear during Silver spot of the pre-show before every movie every day during your campaign timeframe.,0,0,46,1279.75,40.731655,-73.988791,79
6,22894502,"[40.71655, -74.006877]",200 Church St,Health Club / Recreation: Digital: Digital Signage Networks,Recreation (Gym),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/HealthDigitalSignageNetworks-NaNxNaN-null,"200 Church St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.71655,-74.006877,231
15,22894378,"[40.748795, -73.976108]",594 3rd Ave,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"594 3rd Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.748795,-73.976108,170
16,22894350,"[40.74733, -73.973817]",710 2nd Ave,Grocery Stores: Digital,Retail (Grocery),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/GroceryDigital-NaNxNaN-null,"710 2nd Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.74733,-73.973817,170
21,22894505,"[40.705945, -74.010116]",41 Exchange Pl,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"41 Exchange Pl Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.705945,-74.010116,87
28,22894504,"[40.705984, -74.010098]",41 Exchange Pl,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"41 Exchange Pl Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.705984,-74.010098,87
52,22894340,"[40.72022, -73.997046]",177 Mulberry St,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"177 Mulberry St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.72022,-73.997046,144
62,22894500,"[40.716538, -74.006888]",200 Church St,Health Club / Recreation: Digital: Digital Signage Networks,Recreation (Gym),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/HealthDigitalSignageNetworks-NaNxNaN-null,"200 Church St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.716538,-74.006888,231
74,22894442,"[40.762344, -73.959809]",1158 1st Ave,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"1158 1st Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.762344,-73.959809,140
80,22894307,"[40.745435, -73.999127]",312 W 23rd St,Digital Networks: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"312 W 23rd St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.745435,-73.999127,68
81,22894345,"[40.756873, -73.990253]","625 8th Ave, Port Authority Bus Terminal",Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"625 8th Ave, Port Authority Bus Terminal Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.756873,-73.990253,48
93,22894507,"[40.718511, -74.004991]",90 Franklin St,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"90 Franklin St Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.718511,-74.004991,231
108,22894417,"[40.844648, -73.939067]",4099 Broadway,Grocery Stores: Digital,Retail (Grocery),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/GroceryDigital-NaNxNaN-null,"4099 Broadway Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.844648,-73.939067,244
127,22894431,"[40.706752, -74.008576]",54 Pine St,Restaurants / Bars: Digital: Digital Signage Networks,Restaurant / Bar,"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RestoBarDigitalSignageNetworks-NaNxNaN-null,"54 Pine St Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.706752,-74.008576,87
134,22894347,"[40.729131, -73.998234]",552 LaGuardia Pl,Retail: Digital,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"552 LaGuardia Pl Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.729131,-73.998234,114
141,22894361,"[40.802823, -73.938438]",2021 Lexington Ave,Restaurants / Bars: Digital: Digital Signage Networks,On-Street Ad (Print),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/UrbanPanels-NaNxNaN-null,"2021 Lexington Ave Exterior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.802823,-73.938438,74
156,22894441,"[40.762336, -73.959787]",1158 1st Ave,Retail: Digital,Retail (Other),"New York, NY",1920 x 1080 px,https://www.billboardsin.com/design/RetailDigital-NaNxNaN-null,"1158 1st Ave Interior facing digital screen, 15-second or 30-second ads every 120 seconds during the hours of operation, video or static capabilities, no sound.",0,0,50,1400,40.762336,-73.959787,140
