borough,house,street_name,block,lot,bin,community_board,sign_illumination,sign_type,sign_height_roof,sign_height_curb,sign_weight,sign_sq_footage,sign_near_park,sign_dist_from_highway,sign_dist_from_park,text_on_sign,sign_near_highway,landmarked,sector,Latitude,Longitude,zone_id
MANHATTAN,1313,BROADWAY                        ,810,40,1015220,105,,WALL,0,1042,0,1726,N,0,0,,,,Others,40.750131447382216,-73.98812945,100
MANHATTAN,1604,BROADWAY                        ,1020,38,1024779,105,Y,WALL,0,775,0,846,N,0,0,,,,Others,40.760448486082694,-73.98428687,230
MANHATTAN,154,GRAND STREET                    ,472,28,1007009,102,,WALL,0,864,0,600,N,0,0,,,Y,Others,40.720238942020494,-73.99865438,144
MANHATTAN,52,THOMPSON STREET                 ,488,7501,1007320,102,Y,WALL,0,6,0,264,N,0,0,,,,Others,40.723785130998955,-74.00327943,211
MANHATTAN,52,THOMPSON STREET                 ,488,7501,1007320,102,Y,WALL,0,4,0,349,N,0,0,,,,Others,40.723785130998955,-74.00327943,211
MANHATTAN,125,ORCHARD STREET                  ,415,74,1005505,103,Y,WALL,0,140,0,79,N,0,0,,,,Others,40.71958249562681,-73.98974384,148
MANHATTAN,18,9 AVENUE                        ,628,4,1087054,102,Y,WALL,0,300,0,495,N,0,0,,,,Others,40.73982263933107,-74.00567995,158
MANHATTAN,60,GRAND STREET                    ,475,7510,1007075,102,,WALL,0,439,0,1329,N,0,0,,,Y,Others,40.72240177163643,-74.00332627,211
MANHATTAN,416,LAFAYETTE STREET                ,545,46,1008805,102,,WALL,0,720,0,270,N,0,0,,,Y,Others,40.728807860551484,-73.99284892,113
MANHATTAN,226,WEST 52ND STREET                ,1023,18,1024817,105,Y,WALL,0,930,0,443,N,0,0,,,,Others,40.762517947729194,-73.98374851,230
MANHATTAN,226,WEST 52ND STREET                ,1023,18,1024817,105,Y,WALL,0,930,0,1234,N,0,0,,,,Others,40.762517947729194,-73.98374851,230
MANHATTAN,226,WEST 52ND STREET                ,1023,18,1024817,105,Y,WALL,0,1031,0,941,N,0,0,,,,Others,40.762517947729194,-73.98374851,230
MANHATTAN,226,WEST 52ND STREET                ,1023,18,1024817,105,Y,WALL,0,918,0,765,N,0,0,,,,Others,40.762517947729194,-73.98374851,230
MANHATTAN,226,WEST 52ND STREET                ,1023,18,1024817,105,Y,WALL,0,918,0,985,N,0,0,,,,Others,40.762517947729194,-73.98374851,230
MANHATTAN,90,5TH AVE                         ,816,37,1015291,105,Y,WALL,0,85,0,9,N,0,0,,,,Others,40.736366967045434,-73.99375743,234
MANHATTAN,90,FIFTH AVE                       ,816,37,1015291,105,Y,WALL,0,156,0,38,N,0,0,,,,Others,40.736366967045434,-73.99375743,234
MANHATTAN,104,GREENE STREET                   ,499,7,1007605,102,Y,WALL,0,48,0,15,N,0,0,,,Y,Others,40.72436706479462,-73.99940833,211
MANHATTAN,1441,BROADWAY                        ,993,55,1022569,105,Y,WALL,0,120,0,124,N,0,0,,,,Others,40.75499778022702,-73.98716848,100
MANHATTAN,1441,BROADWAY                        ,993,55,1022569,105,Y,WALL,0,120,0,645,N,0,0,,,,Others,40.75499778022702,-73.98716848,100
MANHATTAN,1441,BROADWAY                        ,993,55,1022569,105,Y,WALL,0,120,0,242,N,0,0,,,,Others,40.75499778022702,-73.98716848,100
MANHATTAN,104,GREENE STREET                   ,499,7,1007605,102,Y,WALL,0,48,0,15,N,0,0,,,Y,Others,40.72436706479462,-73.99940833,211
MANHATTAN,1441,BROADWAY                        ,993,55,1022569,105,Y,WALL,0,120,0,720,N,0,0,,,,Others,40.75499778022702,-73.98716848,100
MANHATTAN,1441,BROADWAY                        ,993,55,1022569,105,Y,WALL,0,120,0,124,N,0,0,,,,Others,40.75499778022702,-73.98716848,100
MANHATTAN,701,7 AVENUE                        ,1000,1,1083718,105,Y,WALL,0,325,0,959,N,0,0,,,,Others,40.759229794116976,-73.98409945,230
MANHATTAN,246,WEST 44TH STREET                ,1015,54,1024709,105,Y,WALL,0,154,0,85,N,0,0,,,Y,Others,40.757995147769435,-73.98815693,230
MANHATTAN,246,WEST 44TH STREET                ,1015,54,1024709,105,Y,WALL,0,154,0,85,N,0,0,,,Y,Others,40.757995147769435,-73.98815693,230
MANHATTAN,231,LENOX AVENUE                    ,1906,33,1057688,110,,WALL,0,108,0,5,N,0,0,,,Y,Others,40.80570099915215,-73.94746808,41
MANHATTAN,180,CENTRE STREET                   ,207,8,1801479,102,,GROUND,0,96,0,144,N,0,0,,,,Others,40.71846034507322,-73.99958514,144
MANHATTAN,175,VARICK STREET                   ,580,65,1009754,102,,WALL,0,144,0,10,N,0,0,,,,Others,40.727402612470826,-74.00597474,125
MANHATTAN,101,W 145 ST                        ,2014,29,1081812,110,Y,WALL,0,447,0,247,N,0,0,,,,Others,40.82080789867336,-73.9364654,42
MANHATTAN,101,W 145 ST                        ,2014,29,1081812,110,Y,WALL,0,600,0,247,N,0,0,,,,Others,40.82080789867336,-73.9364654,42
MANHATTAN,150,LAFAYETTE ST                    ,233,2,1088790,102,Y,WALL,0,12,0,560,N,0,0,,,Y,Others,40.719775085479114,-73.99983766,144
MANHATTAN,220,SOUTH STREET                    ,250,1,1003205,103,,WALL,0,96,0,168,N,0,0,,,,Others,40.70965230123452,-73.99506927,45
MANHATTAN,220,SOUTH STREET                    ,250,1,1003205,103,,WALL,0,96,0,120,N,0,0,,,,Others,40.70965230123452,-73.99506927,45
MANHATTAN,21,DOMINICK STREET                 ,579,30,1009740,102,,GROUND,0,116,0,180,N,0,0,,,,Others,40.72539068985681,-74.00627401,125
MANHATTAN,21,DOMINICK STREET                 ,579,30,1009740,102,,GROUND,0,116,0,180,N,0,0,,,,Others,40.72539068985681,-74.00627401,125
MANHATTAN,111,VARICK STREET                   ,578,71,1009730,102,Y,WALL,0,216,0,540,N,0,0,,,,Others,40.724526,-74.006361,125
MANHATTAN,1889,BROADWAY                        ,1115,57,1027465,107,Y,ROOF,114,2251,0,652,N,0,0,,,,Others,40.771350368588884,-73.98268131,142
MANHATTAN,1889,BROADWAY                        ,1115,57,1027465,107,Y,ROOF,145,2251,0,652,N,0,0,,,,Others,40.771350368588884,-73.98268131,142
MANHATTAN,157,VARICK STREET                   ,580,22,1080159,102,,WALL,0,144,0,90,N,0,0,,,,Others,40.72669720247401,-74.00611899,125
MANHATTAN,6,WATER STREET                    ,8,51,1000017,101,,WALL,0,180,0,15,N,0,0,,,,Others,40.702905,-74.012262,88
MANHATTAN,6,WATER STREET                    ,8,51,1000017,101,,WALL,0,180,0,15,N,0,0,,,,Others,40.702905,-74.012262,88
MANHATTAN,507,WEST 21 STREET                  ,693,28,1810041,104,,GROUND,0,144,0,120,N,0,0,,,,Others,40.746602178619085,-74.00555782,246
MANHATTAN,506,WEST 22 STREET                  ,693,28,1809984,104,,GROUND,0,144,0,144,N,0,0,,,,Others,40.74721702180992,-74.00513923,246
MANHATTAN,395,7TH AVE                         ,807,1,1015175,105,Y,WALL,0,253,0,194,N,0,0,,,,Others,40.74914635628921,-73.99117211,186
MANHATTAN,395,7TH AVE                         ,807,1,1015175,105,Y,WALL,0,253,0,194,N,0,0,,,,Others,40.74914635628921,-73.99117211,186
MANHATTAN,395,7TH AVE                         ,807,1,1015175,105,Y,WALL,0,253,0,194,N,0,0,,,,Others,40.74914635628921,-73.99117211,186
MANHATTAN,395,7TH AVE                         ,807,1,1015175,105,Y,WALL,0,253,0,194,N,0,0,,,,Others,40.74914635628921,-73.99117211,186
MANHATTAN,395,7TH AVE                         ,807,1,1015175,105,Y,WALL,0,176,0,194,N,0,0,,,,Others,40.74914635628921,-73.99117211,186
MANHATTAN,591,LEXINGTON AVE                   ,1306,50,1036464,106,Y,WALL,0,246,0,15,N,0,0,,,,Others,40.757500865924115,-73.97127508,162
MANHATTAN,531,WEST 21 STREET                  ,693,14,1012309,104,,WALL,0,182,0,72,N,0,0,,,,Others,40.74727184291303,-74.00659005,246
MANHATTAN,531,WEST 21 STREET                  ,693,14,1012309,104,,WALL,0,137,0,96,N,0,0,,,,Others,40.74727184291303,-74.00659005,246
MANHATTAN,18,9 AVENUE                        ,628,4,1087054,102,,WALL,0,12,0,165,N,0,0,,,,Others,40.73982263933107,-74.00567995,158
MANHATTAN,258,SPRING STREET                   ,579,30,1009740,102,,GROUND,0,116,0,180,N,0,0,,,,Others,40.72539068985681,-74.00627401,125
MANHATTAN,434,BROADWAY                        ,232,1,1003025,102,,WALL,0,204,0,91,N,0,0,,,Y,Others,40.71992329763694,-74.00106783,144
MANHATTAN,434,BROADWAY                        ,232,1,1003025,102,,WALL,0,204,0,310,N,0,0,,,Y,Others,40.71992329763694,-74.00106783,144
MANHATTAN,642,9 AVENUE                        ,1036,1,1025002,104,Y,WALL,0,126,0,19,N,0,0,,,,Others,40.76032294,-73.99084936,48
MANHATTAN,642,9 AVENUE                        ,1036,1,1025002,104,Y,WALL,0,134,0,7,N,0,0,,,,Others,40.76032294,-73.99084936,48
MANHATTAN,1691,BROADWAY                        ,1025,19,1024835,105,,WALL,0,660,0,480,N,0,0,,,,Others,40.76362671156525,-73.98297211,230
MANHATTAN,1691,BROADWAY                        ,1025,19,1024835,105,,WALL,0,660,0,420,N,0,0,,,,Others,40.76362671156525,-73.98297211,230
MANHATTAN,30,WEST 13TH STREET                ,576,22,1077928,102,Y,WALL,0,120,0,15,N,0,0,,,,Others,40.73577968955486,-73.9959983,113
MANHATTAN,640,8TH AVE                         ,1013,7501,1087978,105,Y,WALL,0,492,0,148,N,0,0,,,,Others,40.756639382269334,-73.98959015,100
MANHATTAN,640,8TH AVE                         ,1013,7501,1087978,105,Y,WALL,0,463,0,148,N,0,0,,,,Others,40.756639382269334,-73.98959015,100
MANHATTAN,640,8TH AVE                         ,1013,7501,1087978,105,Y,WALL,0,492,0,1167,N,0,0,,,,Others,40.756639382269334,-73.98959015,100
MANHATTAN,180,CENTRE STREET                   ,207,8,1801479,102,,GROUND,0,240,0,216,N,0,0,,,,Others,40.71846034507322,-73.99958514,144
MANHATTAN,180,CENTRE STREET                   ,207,8,1801479,102,,GROUND,0,120,0,108,N,0,0,,,,Others,40.71846034507322,-73.99958514,144
MANHATTAN,640,8TH AVE                         ,1013,7501,1087978,105,Y,WALL,0,504,0,1167,N,0,0,,,,Others,40.756639382269334,-73.98959015,100
MANHATTAN,1,TIMES SQUARE                    ,995,1,1022581,105,Y,WALL,0,1074,0,1800,N,0,0,,,,Others,40.75619716146505,-73.98653298,230
MANHATTAN,1214,BROADWAY                        ,831,59,1080723,105,,WALL,0,496,0,395,N,0,0,,,,Others,40.74645897375466,-73.9881265,164
MANHATTAN,1214,BROADWAY                        ,831,59,1080723,105,,WALL,0,496,0,151,N,0,0,,,,Others,40.74645897375466,-73.9881265,164
MANHATTAN,1214,BROADWAY                        ,831,59,1080723,105,,WALL,0,496,0,420,N,0,0,,,,Others,40.74645897375466,-73.9881265,164
MANHATTAN,239,W 45TH ST                       ,1017,11,1024726,105,,WALL,0,576,0,840,N,0,0,,,Y,Others,40.75888433618021,-73.98714246,230
MANHATTAN,341,7 AVENUE                        ,805,1,1015135,105,Y,WALL,0,12,0,312,N,0,0,,,,Others,40.74783995469705,-73.99256898,186
MANHATTAN,249,W 45TH ST                       ,1017,10,1024725,105,,WALL,0,480,0,2759,N,0,0,,,Y,Others,40.759156065842355,-73.98714241,230
MANHATTAN,249,W 45TH ST                       ,1017,10,1024725,105,,WALL,0,600,0,1368,N,0,0,,,Y,Others,40.759156065842355,-73.98714241,230
MANHATTAN,249,W 45TH ST                       ,1017,10,1024725,105,,WALL,0,185,0,968,N,0,0,,,Y,Others,40.759156065842355,-73.98714241,230
MANHATTAN,461,8TH AVENUE                      ,757,31,1013547,104,Y,WALL,0,102,0,9,N,0,0,,,,Others,40.75198735537073,-73.99406637,68
MANHATTAN,461,8TH AVENUE                      ,757,31,1013547,104,Y,WALL,0,93,0,23,N,0,0,,,,Others,40.75198735537073,-73.99406637,68
MANHATTAN,1515,BROADWAY                        ,1016,36,1024714,105,Y,WALL,0,195,0,1830,N,0,0,,,,Others,40.75792908445126,-73.98643878,230
MANHATTAN,1515,BROADWAY                        ,1016,36,1024714,105,Y,WALL,0,195,0,498,N,0,0,,,,Others,40.75792908445126,-73.98643878,230
MANHATTAN,1515,BROADWAY                        ,1016,36,1024714,105,Y,WALL,0,147,0,72,N,0,0,,,,Others,40.75792908445126,-73.98643878,230
MANHATTAN,1515,BROADWAY                        ,1016,36,1024714,105,Y,WALL,0,147,0,247,N,0,0,,,,Others,40.75792908445126,-73.98643878,230
MANHATTAN,213,W 30 ST                         ,780,26,1080560,105,,WALL,0,132,0,288,N,0,0,,,,Others,40.74899003048033,-73.99298751,186
MANHATTAN,130,BAXTER STREET                   ,207,13,1002666,102,,WALL,0,618,0,400,N,0,0,,,,Others,40.71836427441217,-73.99894663,144
MANHATTAN,310,WEST BROADWAY                   ,227,28,1087764,102,,GROUND,0,16,0,225,N,0,0,,,,Others,40.72211353132625,-74.00452038,211
MANHATTAN,310,WEST BROADWAY                   ,227,28,1087764,102,,GROUND,0,9,0,145,N,0,0,,,,Others,40.72211353132625,-74.00452038,211
MANHATTAN,310,WEST BROADWAY                   ,227,28,1087764,102,,GROUND,0,9,0,145,N,0,0,,,,Others,40.72211353132625,-74.00452038,211
MANHATTAN,310,WEST BROADWAY                   ,227,28,1087764,102,,GROUND,0,16,0,268,N,0,0,,,,Others,40.72211353132625,-74.00452038,211
MANHATTAN,145,WEST 44TH STREET                ,997,10,1085016,105,Y,WALL,0,1341,0,800,N,0,0,,,,Others,40.75715484130682,-73.98464499,230
MANHATTAN,1674,BROADWAY                        ,1024,131,1024831,105,Y,WALL,0,1080,0,640,N,0,0,,,,Others,40.76276484533407,-73.98285682,230
MANHATTAN,334,EAST 24 STREET                  ,929,38,1020597,106,,WALL,0,111,0,88,N,0,0,,,,Others,40.73761677887996,-73.97872796,107
MANHATTAN,334,EAST 24 STREET                  ,929,38,1020597,106,,WALL,0,114,0,93,N,0,0,,,,Others,40.73761677887996,-73.97872796,107
MANHATTAN,1181,BROADWAY                        ,829,57,1015698,105,,WALL,0,1380,0,2400,N,0,0,,,Y,Others,40.745248626733094,-73.98900729,234
MANHATTAN,214,WEST 42ND STREET                ,1013,39,1024660,105,Y,WALL,0,1140,0,168,N,0,0,,,Y,Others,40.75592010907295,-73.9880454,100
MANHATTAN,250,E 58TH ST                       ,1331,28,1038605,106,,WALL,0,480,0,275,N,0,0,,,,Others,40.75999139446951,-73.96511947,229
MANHATTAN,35,GRAND STREET                    ,227,16,1002942,102,Y,WALL,0,176,0,188,N,0,0,,,,Others,40.72251975807954,-74.00445547,211
MANHATTAN,535,LA GUARDIA PLACE                ,533,10,1080076,102,,WALL,0,124,0,8,N,0,0,,,,Others,40.728484184372505,-73.99801921,114
MANHATTAN,110,LAFAYETTE ST                    ,196,22,1002348,101,,WALL,0,11,0,84,N,0,0,,,,Others,40.71816390688373,-74.00106059,231
MANHATTAN,11,FIFTH AVE                       ,566,1,1009222,102,Y,WALL,0,104,0,16,N,0,0,,,Y,Others,40.732354224880055,-73.99567016,113
MANHATTAN,41,GRAND STREET                    ,227,19,1002943,102,,WALL,0,384,0,135,N,0,0,,,,Others,40.72241820993319,-74.00424622,211
MANHATTAN,159,PRINCE ST                       ,516,42,1008037,102,Y,WALL,0,780,0,44,N,0,0,,,,Others,40.726123705295876,-74.00113648,211
MANHATTAN,145,SPRING ST                       ,501,33,1007718,102,,WALL,0,612,0,138,N,0,0,,,Y,Others,40.7244,-74.00119778,211
MANHATTAN,669,2ND AVENUE                      ,917,28,1088557,106,Y,GROUND,0,120,0,672,N,0,0,,,,Others,40.74639925020388,-73.9750801,170
MANHATTAN,66,WEST BROADWAY                   ,132,1,1001418,101,,WALL,0,708,0,792,N,0,0,,,,Others,40.71467487660216,-74.01011833,231
MANHATTAN,15,WEST 39 STREET                  ,841,27,1016044,105,Y,WALL,0,108,0,96,N,0,0,,,,Others,40.752301960168396,-73.98341534,164
